Time,clk,out_1ff (1),out_2ff (1),out1,out2
0,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,0
7,0,0,0,0,0
8,0,0,0,0,0
9,0,0,0,0,0
10,1,0,0,1,1
11,1,0,0,1,1
12,1,0,0,1,1
13,1,0,0,1,1
14,1,0,0,1,1
15,1,0,0,1,1
16,1,0,0,1,1
17,1,0,0,1,1
18,1,0,0,1,1
19,1,0,0,1,1
20,0,0,0,0,0
21,0,0,0,0,0
22,0,0,0,0,0
23,0,0,0,0,0
24,0,0,0,0,0
25,0,0,0,0,0
26,0,0,0,0,0
27,0,0,0,0,0
28,0,0,0,0,0
29,0,0,0,0,0
30,1,1,0,3,1
31,1,1,0,3,1
32,1,1,0,3,1
33,1,1,0,3,1
34,1,1,0,3,1
35,1,1,0,3,1
36,1,1,0,3,1
37,1,1,0,3,1
38,1,1,0,3,1
39,1,1,0,3,1
40,0,1,0,2,0
41,0,1,0,2,0
42,0,1,0,2,0
43,0,1,0,2,0
44,0,1,0,2,0
45,0,1,0,2,0
46,0,1,0,2,0
47,0,1,0,2,0
48,0,1,0,2,0
49,0,1,0,2,0
50,1,0,1,1,3
51,1,0,1,1,3
52,1,0,1,1,3
53,1,0,1,1,3
54,1,0,1,1,3
55,1,0,1,1,3
56,1,0,1,1,3
57,1,0,1,1,3
58,1,0,1,1,3
59,1,0,1,1,3
60,0,0,1,0,2
61,0,0,1,0,2
62,0,0,1,0,2
63,0,0,1,0,2
64,0,0,1,0,2
65,0,0,1,0,2
66,0,0,1,0,2
67,0,0,1,0,2
68,0,0,1,0,2
69,0,0,1,0,2
70,1,1,1,3,3
71,1,1,1,3,3
72,1,1,1,3,3
73,1,1,1,3,3
74,1,1,1,3,3
75,1,1,1,3,3
76,1,1,1,3,3
77,1,1,1,3,3
78,1,1,1,3,3
79,1,1,1,3,3
80,0,1,1,2,2
81,0,1,1,2,2
82,0,1,1,2,2
83,0,1,1,2,2
84,0,1,1,2,2
85,0,1,1,2,2
86,0,1,1,2,2
87,0,1,1,2,2
88,0,1,1,2,2
89,0,1,1,2,2
90,1,0,0,1,1
91,1,0,0,1,1
92,1,0,0,1,1
93,1,0,0,1,1
94,1,0,0,1,1
95,1,0,0,1,1
96,1,0,0,1,1
97,1,0,0,1,1
98,1,0,0,1,1
99,1,0,0,1,1
100,0,0,0,0,0
101,0,0,0,0,0
102,0,0,0,0,0
103,0,0,0,0,0
104,0,0,0,0,0
105,0,0,0,0,0
106,0,0,0,0,0
107,0,0,0,0,0
108,0,0,0,0,0
109,0,0,0,0,0
110,1,1,0,3,1
111,1,1,0,3,1
112,1,1,0,3,1
113,1,1,0,3,1
114,1,1,0,3,1
115,1,1,0,3,1
116,1,1,0,3,1
117,1,1,0,3,1
118,1,1,0,3,1
119,1,1,0,3,1
120,0,1,0,2,0
121,0,1,0,2,0
122,0,1,0,2,0
123,0,1,0,2,0
124,0,1,0,2,0
125,0,1,0,2,0
126,0,1,0,2,0
127,0,1,0,2,0
128,0,1,0,2,0
129,0,1,0,2,0
130,1,0,1,1,3
131,1,0,1,1,3
132,1,0,1,1,3
133,1,0,1,1,3
134,1,0,1,1,3
135,1,0,1,1,3
136,1,0,1,1,3
137,1,0,1,1,3
138,1,0,1,1,3
139,1,0,1,1,3
140,0,0,1,0,2
141,0,0,1,0,2
142,0,0,1,0,2
143,0,0,1,0,2
144,0,0,1,0,2
145,0,0,1,0,2
146,0,0,1,0,2
147,0,0,1,0,2
148,0,0,1,0,2
149,0,0,1,0,2
150,1,1,1,3,3
151,1,1,1,3,3
152,1,1,1,3,3
153,1,1,1,3,3
154,1,1,1,3,3
155,1,1,1,3,3
156,1,1,1,3,3
157,1,1,1,3,3
158,1,1,1,3,3
159,1,1,1,3,3
160,0,1,1,2,2
161,0,1,1,2,2
162,0,1,1,2,2
163,0,1,1,2,2
164,0,1,1,2,2
165,0,1,1,2,2
166,0,1,1,2,2
167,0,1,1,2,2
168,0,1,1,2,2
169,0,1,1,2,2
170,1,0,0,1,1
171,1,0,0,1,1
172,1,0,0,1,1
173,1,0,0,1,1
174,1,0,0,1,1
175,1,0,0,1,1
176,1,0,0,1,1
177,1,0,0,1,1
178,1,0,0,1,1
179,1,0,0,1,1
180,0,0,0,0,0
181,0,0,0,0,0
182,0,0,0,0,0
183,0,0,0,0,0
184,0,0,0,0,0
185,0,0,0,0,0
186,0,0,0,0,0
187,0,0,0,0,0
188,0,0,0,0,0
189,0,0,0,0,0
190,1,1,0,3,1
191,1,1,0,3,1
192,1,1,0,3,1
193,1,1,0,3,1
194,1,1,0,3,1
195,1,1,0,3,1
196,1,1,0,3,1
197,1,1,0,3,1
198,1,1,0,3,1
199,1,1,0,3,1
