SimTime,Sine,CounterPos,CounterBoth
0,0,0,0
0.1,0.29552020666134,0,0
0.2,0.564642473395035,0,0
0.3,0.783326909627484,0,0
0.4,0.932039085967226,0,0
0.5,0.997494986604055,0,0
0.6,0.973847630878195,1,1
0.7,0.863209366648874,1,1
0.8,0.675463180551151,1,1
0.9,0.42737988023383,1,1
1,0.141120008059867,1,1
1.1,-0.157745694143249,1,1
1.2,-0.442520443294853,1,1
1.3,-0.687766159183974,1,1
1.4,-0.871575772413588,1,1
1.5,-0.977530117665097,1,1
1.6,-0.996164608835841,1,2
1.7,-0.925814682327732,1,2
1.8,-0.772764487555987,1,2
1.9,-0.550685542597638,1,2
2,-0.279415498198926,1,2
2.1,0.016813900484351,1,2
2.2,0.311541363513379,1,2
2.3,0.5784397643882,1,2
2.4,0.793667863849154,1,2
2.5,0.937999976774739,1,2
2.6,0.998543345374605,1,2
2.7,0.969889810845086,2,3
2.8,0.854598908088281,2,3
2.9,0.662969230082182,2,3
3,0.412118485241755,2,3
3.1,0.124454423507062,2,3
3.2,-0.174326781222981,2,3
3.3,-0.457535893775323,2,3
3.4,-0.699874687593545,2,3
3.5,-0.879695759971672,2,3
3.6,-0.980936230066492,2,3
3.7,-0.994552588203989,2,4
3.8,-0.919328525664674,2,4
3.9,-0.761983583919031,2,4
4,-0.536572918000431,2,4
4.1,-0.263231791365798,2,4
4.2,0.033623047221142,2,4
4.3,0.327474439137698,2,4
4.4,0.592073514707229,2,4
4.5,0.803784426551624,2,4
4.6,0.943695669444107,2,4
4.7,0.999309388747918,2,4
4.8,0.965657776549276,3,5
4.9,0.84574683114293,3,5
5,0.650287840157112,3,5
5.1,0.396740573130604,3,5
5.2,0.107753652299435,3,5
5.3,-0.190858581374196,3,5
5.4,-0.472421986398476,3,5
5.5,-0.71178534236913,3,5
5.6,-0.887567033581509,3,5
5.7,-0.984065005081645,3,5
5.8,-0.992659380470632,3,6
5.9,-0.91258244979118,3,6
6,-0.750987246771669,3,6
6.1,-0.522308589626722,3,6
6.2,-0.246973661736611,3,6
6.3,0.050422687806825,3,6
6.4,0.343314928819905,3,6
6.5,0.60553986971961,3,6
6.6,0.813673737507112,3,6
6.7,0.949124553647899,3,6
6.8,0.999792900142669,3,6
6.9,0.961152724502113,4,7
7.00000000000001,0.836655638536048,4,7
7.10000000000001,0.637422596150228,4,7
7.2,0.381250491654927,4,7
7.3,0.091022416199834,4,7
7.40000000000001,-0.207336420606776,4,7
7.50000000000001,-0.487174512460522,4,7
7.60000000000001,-0.723494756044255,4,7
7.7,-0.895187367819688,4,7
7.80000000000001,-0.986915558120652,4,7
7.90000000000001,-0.990485520897154,4,8
8.00000000000001,-0.905578362006618,4,8
8.10000000000001,-0.739778585077884,4,8
8.20000000000001,-0.507896590390607,4,8
8.30000000000001,-0.230645705927375,4,8
8.40000000000001,0.067208072525493,4,8
8.50000000000001,0.359058354022182,4,8
8.60000000000001,0.618835022120053,4,8
8.70000000000001,0.823333000738092,4,8
8.80000000000001,0.954285094492703,4,8
8.90000000000001,0.999993742857021,4,8
9.00000000000001,0.956375928404497,5,9
9.10000000000001,0.827327900595369,5,9
9.20000000000001,0.624377135416377,5,9
9.30000000000001,0.365652620282598,5,9
9.40000000000001,0.074265445584337,5,9
9.50000000000001,-0.223755640186817,5,9
9.60000000000001,-0.50178930102059,5,9
9.70000000000001,-0.734999618048792,5,9
9.80000000000001,-0.902554608210196,5,9
9.90000000000001,-0.989487083254539,5,9
10,-0.988031624092858,5,10
10.1,-0.898318242557344,5,10
10.2,-0.728360767831579,5,10
10.3,-0.493340994956757,5,10
10.4,-0.214252540295863,5,10
10.5,0.083974455691775,5,10
10.6,0.374700263649485,5,10
10.7,0.631955213006902,5,10
10.8,0.832759485307795,5,10
10.9,0.959175832953089,5,10
11,0.999911860107267,5,10
11.1,0.951328738786774,6,11
11.2,0.817766254526425,6,11
11.3,0.611155146262574,6,11
11.4,0.349951368956635,6,11
11.5,0.057487478104896,6,11
11.6,-0.240111597953809,6,11
11.7,-0.516262220079951,6,11
11.8,-0.746296675644935,6,11
11.9,-0.90966667183354,6,11
